,market,rank,total_units,total_properties,lat,lon,submarket
301,"East Stroudsburg, PA",2,227.0,2,40.98,-75.2,Monroe County
302,"East Stroudsburg, PA",3,138.0,1,41.03,-75.2,Monroe County
303,"Eau Claire, WI",1,413.0,4,44.81,-91.5,Downtown Eau Claire
304,"Eau Claire, WI",2,406.0,3,44.79,-91.51,Eau Claire/Menomonie
305,"Eau Claire, WI",3,330.0,3,44.82,-91.51,Downtown Eau Claire
306,"El Centro, CA",1,618.0,3,32.81,-115.57,Yuma & El Centro
307,"El Centro, CA",2,504.0,7,32.98,-115.51,Yuma & El Centro
308,"El Centro, CA",3,381.0,4,32.79,-115.58,Yuma & El Centro
309,"El Paso, TX",1,2957.0,12,31.81,-106.51,Lomas Del Rey
310,"El Paso, TX",2,1841.0,8,31.77,-106.36,Stonehaven
311,"El Paso, TX",3,1478.0,7,31.71,-106.31,Pecan Grove
312,"Elizabethtown-Fort Knox, KY",1,977.0,4,37.73,-85.9,Kentucky West Area
313,"Elizabethtown-Fort Knox, KY",2,710.0,3,37.71,-85.85,Kentucky West Area
314,"Elizabethtown-Fort Knox, KY",3,418.0,2,37.75,-85.9,Kentucky West Area
315,"Elkhart, IN",1,707.0,1,41.65,-85.97,South Elkhart
316,"Elkhart, IN",2,576.0,1,41.67,-85.9,South Elkhart
317,"Elkhart, IN",3,468.0,3,41.69,-85.97,State St/Division St Hist District
318,"Elmira, NY",1,525.0,3,42.09,-76.79,Ithaca/Elmira
319,"Elmira, NY",2,479.0,2,42.08,-76.81,Ithaca/Elmira
320,"Elmira, NY",3,310.0,1,42.09,-76.8,Ithaca/Elmira
321,"Enid, OK",1,203.0,2,36.39,-97.93,Oklahoma West Area
322,"Enid, OK",2,200.0,1,36.41,-97.91,Oklahoma West Area
323,"Enid, OK",3,198.0,2,36.41,-97.95,Oklahoma West Area
324,"Erie, PA",1,791.0,1,42.07,-80.09,Outlying Erie County
325,"Erie, PA",2,627.0,4,42.13,-80.08,Mid City Erie
326,"Erie, PA",3,488.0,4,41.87,-80.12,Edinboro
327,"Eugene, OR",1,1203.0,4,44.06,-123.06,Harlow
328,"Eugene, OR",2,987.0,4,44.08,-123.11,Cal Young
329,"Eugene, OR",3,739.0,4,44.09,-123.06,Harlow
330,"Evansville, IN",1,663.0,3,37.94,-87.49,Kathleen-Jeannette
331,"Evansville, IN",2,656.0,3,37.98,-87.64,Evansville West Side
332,"Evansville, IN",3,647.0,3,37.95,-87.49,East Evansville
333,"Fairbanks, AK",1,775.0,2,64.86,-147.72,Alaska Regional
334,"Fairbanks, AK",2,400.0,1,64.84,-147.66,Alaska Regional
335,"Fairbanks, AK",3,355.0,1,64.83,-147.81,Alaska Regional
336,"Fargo, ND",1,1431.0,7,46.84,-96.88,Fargo
337,"Fargo, ND",2,1231.0,7,46.83,-96.91,Fargo
338,"Fargo, ND",3,1048.0,8,46.87,-96.85,Village West
339,"Farmington, NM",1,226.0,3,36.75,-108.17,New Mexico North Area
340,"Farmington, NM",2,204.0,3,36.76,-108.2,New Mexico North Area
341,"Farmington, NM",3,172.0,2,36.72,-108.22,New Mexico North Area
342,"Fayetteville , NC",1,2418.0,5,35.1,-78.97,Westover
343,"Fayetteville , NC",2,1134.0,4,35.06,-79.01,Westover
344,"Fayetteville , NC",3,1023.0,5,35.15,-78.87,Kings Grant
345,"Flagstaff, AZ",1,912.0,5,35.18,-111.67,Woodlands Village
346,"Flagstaff, AZ",2,808.0,4,35.16,-111.66,Flagstaff
347,"Flagstaff, AZ",3,510.0,3,35.21,-111.58,Flagstaff
348,"Flint, MI",1,940.0,2,43.02,-83.55,Burton/Davison
349,"Flint, MI",2,884.0,2,42.92,-83.69,Grand Blanc/Goodrich
350,"Flint, MI",3,845.0,2,43.01,-83.54,Burton/Davison
351,"Florence, SC",1,648.0,4,34.17,-79.83,Florence/Dillon
352,"Florence, SC",2,424.0,2,34.18,-79.83,Florence/Dillon
353,"Florence, SC",3,353.0,4,34.2,-79.77,Florence/Dillon
354,"Florence-Muscle Shoals, AL",1,543.0,5,34.82,-87.67,Alabama North Area
355,"Florence-Muscle Shoals, AL",2,506.0,5,34.83,-87.67,Alabama North Area
356,"Florence-Muscle Shoals, AL",3,442.0,3,34.85,-87.67,Alabama North Area
357,"Fond du Lac, WI",1,728.0,2,43.79,-88.48,City of Fond du Lac
358,"Fond du Lac, WI",2,436.0,4,43.79,-88.47,City of Fond du Lac
